2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-06-26/20:11:06		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-06-26/20:11:06		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-26/20:11:07		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-06-26/20:11:07		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-26/20:11:08		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-06-26/20:11:08		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-06-26/20:11:09		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-06-26/20:11:09		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-06-26/20:11:09		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-06-26/21:44:14		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-06-26/21:44:55		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-06-26/21:45:23		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-06-26/21:45:33		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-06-26/21:45:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-06-26/21:45:34		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-06-26/21:45:35		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-06-26/21:45:36		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-06-26/21:45:36		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-07-11/08:38:52		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-07-11/08:38:53		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-07-11/08:38:53		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-07-11/08:38:54		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-07-11/08:38:54		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-07-11/08:38:55		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-07-11/08:38:56		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-07-11/08:38:57		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-07-11/08:38:57		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-07-11/08:59:09		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-07-11/08:59:10		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-07-11/08:59:10		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-07-11/08:59:11		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-07-11/08:59:13		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-07-11/08:59:13		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-07-11/08:59:14		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-07-11/08:59:15		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-07-11/08:59:16		 wafer_29012020_050617.csv: File Transformed successfully!!
